vulnerability	脆弱性
authentication	認証
authorization	認可
access control	アクセス制御
mandatory (access control) 	強制
discretionary (access control) 	任意
responsible disclosure	責任ある開示
confidentiality	機密性
Integrity	完全性
Availability	可用性
Least privilege	最小権限
isolation	隔離
Fail-safe defaults	ファイルセーフの原則
Open design	オープンデザイン
End-to-end security	拠点間セキュリティ
Defense in depth	縦深防御
Security by design 	セキュリティ・バイ・デザイン
Usable security 	ユーザブルセキュリティ
Prevention	防御
detection	検知
deterrence	抑止
fail-safe	フェイルセーフ
deny-by-default	原則禁止
multiple layers of defenses	多層防御
Input validation	入力検査
data sanitization	無害化
Buffer overflows	バッファーオーバーフロー
Integer errors	整数値エラー
SQL injection	SQLインジェクション
XSS vulnerability 	XSS脆弱性
Race conditions	競合状態
mitigating	緩和
Fuzzing	ファジング
Static analysis	静的解析
dynamic analysis	動的解析
underground economy	地下経済
digital espionage	デジタルスパイ活動
cyberwarfare	サイバー戦争
insider threats	内部犯行
hacktivism	ハクティビズム
advanced persistent threats	APT，標的型攻撃
Social engineering	ソーシャルエンジニアリング
phishing	フィッシング
privacy	プライバシ
anonymity	匿名性
steganography	ステガノグラフィ
denial of service	DoS，サービス拒否
spoofing	なりすまし
sniffing	盗聴
man-in-the-middle	中間者攻撃
traffic analysis	通信解析
intrusion detection	侵入検知
honeypots	ハニーポット
network censorship	ネットワーク検閲
Cipher	暗号
Caesar cipher	シーザー暗号
pseudo-random generator	擬似乱数生成器
stream cipher	ストリーム暗号
block ciphers	ブロック暗号
pseudo-random function	擬似乱数生成器
hash function	ハッシュ関数
collision resistance	衝突困難性
message authentication code	メッセージ認証コード
key derivations function	鍵生成関数
Symmetric key cryptography	共通鍵暗号
Perfect secrecy	完全秘匿性
authenticated encryption	認証付き暗号
Message integrity	メッセージ完全性
Trapdoor permutation	落し戸付き置換
Digital signature	ディジタル署名
certificate	証明書
Authenticated key exchange protocol	認証付き鍵交換
challenge-response	チャレンジ・レスポンス
zero-knowledge protocols	ゼロ知識証明プロトコル
oblivious transfer	紛失通信
indistinguishability	識別困難性
unforgeability	偽造不可能性
collision-resistance	衝突困難性
chosen-message attack	選択文攻撃
birthday attacks	誕生日攻撃
side channel attack	サイドチャネル攻撃
fault injection attack	故障注入攻撃
Quantum cryptography	量子暗号
cryptanalysis	暗号解析
cryptographic algorithm	暗号アルゴリズム
cryptology	暗号学
key exchange protocol	鍵交換プロトコル
cryptographic protocol	暗号プロトコル
root of trust	信頼の起点
security breach	セキュリティ侵害
biometric authentication	生体認証
facial recognition	顔認証
identification	識別
decipher	復号
encipher	暗号化
pseudo random number generator	擬似乱数生成器
